title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Repair and the 2014 Mount Polley Mine disaster: Anti Relationality, constraint, and legacies of socio-ecological disruption in settler colonial British Columbia","Neil Nunn","2023","","Mount Polley Mine disaster; anti relationality; environmental justice; reparative planning; BC gold rush; settler colonialism; colonial modernity; 1862 smallpox epidemic","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/nunn_2023_repair_and_the_2014_mount_polley_mine_disaster_th.jpg","http://localhost:4000/JRWA-Archive/objects/nunn_2023_repair_and_the_2014_mount_polley_mine_disaster.pdf",/JRWA-Archive/items/jr-np-ra-other_004.html
"Being a Scientist Means Taking Sides","Mary H. O&#39;Brien","1993","","Science; Politics; Public Interest;","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/obrien_1993_being_a_scientists_means_taking_sides_th.jpg","http://localhost:4000/JRWA-Archive/objects/obrien_1993_being_a_scientists_means_taking_sides.pdf",/JRWA-Archive/items/jr-np-ra-other_005.html
"Jordan River Restoration","Thom Davis","2017-06-08","","Hydroelectric; Mining; Logging; Restoration; Salmon; Indigenous Community","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/davis_2017_jordan_river_restoration_bringing_back_the_habitat_bc_outdoors_th.jpg","http://localhost:4000/JRWA-Archive/objects/davis_2017_jordan_river_restoration_bringing_back_the_habitat_bc_outdoors.pdf",/JRWA-Archive/items/jr-np-ra-jr_001.html
"A tale of two rivers","KIm Hoffman","2017-02-13","","Hydroelectric; Mining; Logging; Restoration; Salmon; Indigenous Community; Glines Canyon Dam","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/hoffman_2017_a_tale_of_two_rivers_science_borealis_th.jpg","http://localhost:4000/JRWA-Archive/objects/hoffman_2017_a_tale_of_two_rivers_science_borealis.pdf",/JRWA-Archive/items/jr-np-ra-jr_002.html
"Power Play on the Jordan","Daily Colonist","1970-08-30","","Hydroelectric; Power House","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist_1970_08_30_power_play_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist_1970_08_30_power_play.pdf",/JRWA-Archive/items/jrnph1970-90_001.html
"Jordan River&#39;s Eye to the Future","Patricia Goertzen","1971-11-21","","Hydroelectric","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist_1971_11_21_eye_to_future_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist_1971_11_21_eye_to_future.pdf",/JRWA-Archive/items/jrnph1970-90_002.html
"Never too Old","  Lindo","1970-11-08","","Hydroelectric","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/tc_1970_never_to_bold_bio_of_john_elliott_th.jpg","http://localhost:4000/JRWA-Archive/objects/tc_1970_never_to_bold_bio_of_john_elliott.pdf",/JRWA-Archive/items/jrnph1970-90_005.html
"Fear of Brownouts Fade on Island","Moria Farrow","1971-12-21","","Hydroelectric; Power House; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/the_vancouver_sun_tue_dec_21_1971_th.jpg","http://localhost:4000/JRWA-Archive/objects/the_vancouver_sun_tue_dec_21_1971.pdf",/JRWA-Archive/items/jrnph1970-90_006.html
"Jordan River&#39;s Electric Monster","Richard K. Blier","1988-01-03","","Hydroelectric; Power House; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_1988_jrs_electric_monster_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_1988_jrs_electric_monster.pdf",/JRWA-Archive/items/jrnph1970-90_007.html
"$30 Million Flows Into Jordan Project","Times Colonist","1970-05-15","","Hydroelectric; Power House; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_fri_may_15_1970_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_fri_may_15_1970.pdf",/JRWA-Archive/items/jrnph1970-90_008.html
"For $30M (and a few snags) The Island Gets Extra Power","B.C. Forest Trio buying up Radonier Canada Assets","1970-11-28","","Hydroelectric; Power House; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_sat_nov_28_1970_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_sat_nov_28_1970.pdf",/JRWA-Archive/items/jrnph1970-90_009.html
"Valley of Snags an &#39;Obscene Sight&#39;","Don Vipond","1970-08-13","","Hydroelectric; Power House; B.C. Hydro; Tree Snags; Drained Reservoir; Logging","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_thu__aug_13_1970__th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_thu__aug_13_1970_.pdf",/JRWA-Archive/items/jrnph1970-90_010.html
"... An Obscene Sight","Don Vipond","1970-08-13","","Hydroelectric; Power House; B.C. Hydro; Tree Snags; Drained Reservoir; Logging","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_thu_aug_13__1970_2_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_thu_aug_13__1970_2.pdf",/JRWA-Archive/items/jrnph1970-90_011.html
"First Nuclear Power Plant Likely in &#39;75","John Mika","1968-07-24","","Hydroelectric; Power House; B.C. Hydro; Nuclear","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_wed__jul_24__1968__th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_wed__jul_24__1968_.pdf",/JRWA-Archive/items/jrnph1970-90_012.html
"First Nuclear Power Plant Likely in &#39;76","John Mika","1968-07-25","","Hydroelectric; Power House; B.C. Hydro; Nuclear","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_wed_jul_24__1968_2_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_wed_jul_24__1968_2.pdf",/JRWA-Archive/items/jrnph1970-90_013.html
"Rock Hide Wet Frenzy","Victoria Express","1974-03-28","","Mining; Ownership","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/victoria_express_1974_rocks_hide_wet_frenzy_the_mine_runs_uphill_th.jpg","http://localhost:4000/JRWA-Archive/objects/victoria_express_1974_rocks_hide_wet_frenzy_the_mine_runs_uphill.pdf",/JRWA-Archive/items/jrnph1970-90_014.html
"Vancouver Island to see $3B in BC Hydro upgrades, expansion over the next decade"," The Canadian Press","2024-07-05","","Electricity Grid Expansion","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/elliot_lake_news_2024_vancouver_island_to_see_38_in_bc_hydro_upgrades_expansion_over_the_next_decade_th.jpg","http://localhost:4000/JRWA-Archive/objects/elliot_lake_news_2024_vancouver_island_to_see_38_in_bc_hydro_upgrades_expansion_over_the_next_decade.pdf",/JRWA-Archive/items/jrnph1971-present_001.html
