identifier ,parentid,objectid,object_location,title,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
1920_cumberland_2_4_cmands_seriously_interested_in_building_a_smelter_in_jr,,jr-np-m-1900-49_011,/objects/1920_cumberland_2_4_cmands_seriously_interested_in_building_a_smelter_in_jr.pdf,Another Smelter for the Island,The Cumberland Islander,The Cumberland Islander,1920-06-12,,application/pdf,pdf,pdf,Mining; Sunloch Mines Ltd.;,,/objects/small/1920_cumberland_2_4_cmands_seriously_interested_in_building_a_smelter_in_jr_sm.jpg,/objects/thumbs/1920_cumberland_2_4_cmands_seriously_interested_in_building_a_smelter_in_jr_th.jpg,
1919_ledge_1_6_sunloch_mines_diamond_drilling_rh_stewart_of_vancouver_formerly_trail_in_charge,,jr-np-m-1900-49_012,/objects/1919_ledge_1_6_sunloch_mines_diamond_drilling_rh_stewart_of_vancouver_formerly_trail_in_charge.pdf,B. C. Mines,The Ledge,The Ledge,1919-01-02,,application/pdf,pdf,pdf,Mining,,/objects/small/1919_ledge_1_6_sunloch_mines_diamond_drilling_rh_stewart_of_vancouver_formerly_trail_in_charge_sm.jpg,/objects/thumbs/1919_ledge_1_6_sunloch_mines_diamond_drilling_rh_stewart_of_vancouver_formerly_trail_in_charge_th.jpg,
1918_xbcrecord_2_3_sunlock_mines_up_and_running_and_doing_well,,jr-np-m-1900-49_013,/objects/1918_xbcrecord_2_3_sunlock_mines_up_and_running_and_doing_well.pdf,Minging News,British Columbia Record,British Columbia Record,1918-07-19,,application/pdf,pdf,pdf,Mining; Operating,,/objects/small/1918_xbcrecord_2_3_sunlock_mines_up_and_running_and_doing_well_sm.jpg,/objects/thumbs/1918_xbcrecord_2_3_sunlock_mines_up_and_running_and_doing_well_th.jpg,
1918_ledge_1_6_ore_shipped_from_jr_to_tacoma_or_ladysmith_as_much_as_3_copper,,jr-np-m-1900-49_014,/objects/1918_ledge_1_6_ore_shipped_from_jr_to_tacoma_or_ladysmith_as_much_as_3_copper.pdf,B. C. Mining News,The Ledge,The Ledge,1918-08-01,,application/pdf,pdf,pdf,Mining; Shipping,,/objects/small/1918_ledge_1_6_ore_shipped_from_jr_to_tacoma_or_ladysmith_as_much_as_3_copper_sm.jpg,/objects/thumbs/1918_ledge_1_6_ore_shipped_from_jr_to_tacoma_or_ladysmith_as_much_as_3_copper_th.jpg,
1916_ledge_1_5_copper_discovered_in_jordan_river,,jr-np-m-1900-49_016,/objects/1916_ledge_1_5_copper_discovered_in_jordan_river.pdf,B. C. Mines,The Ledge,The Ledge,1916-07-20,,application/pdf,pdf,pdf,Mining; Copper; Discovery,,/objects/small/1916_ledge_1_5_copper_discovered_in_jordan_river_sm.jpg,/objects/thumbs/1916_ledge_1_5_copper_discovered_in_jordan_river_th.jpg,
1915_nelsondaily_4_4_history_of_gold_exploration_sooke_to_jr_1864,,jr-np-m-1900-49_017,/objects/1915_nelsondaily_4_4_history_of_gold_exploration_sooke_to_jr_1864.pdf,Sought Mines Near Victoria Back in '64,The Daily News,The Daily News,1915-09-10,,application/pdf,pdf,pdf,Mining; Gold; Discovery,,/objects/small/1915_nelsondaily_4_4_history_of_gold_exploration_sooke_to_jr_1864_sm.jpg,/objects/thumbs/1915_nelsondaily_4_4_history_of_gold_exploration_sooke_to_jr_1864_th.jpg,
1911_mineca_1_2_8_foot_vein_of_athracite_coal_discover_jr,,jr-np-m-1900-49_018,/objects/1911_mineca_1_2_8_foot_vein_of_athracite_coal_discover_jr.pdf,Eight Feet of Anthracite,The Omineca Herald,The Omineca Herald,1911-08-5,,application/pdf,pdf,pdf,Mining; Anthracite,,/objects/small/1911_mineca_1_2_8_foot_vein_of_athracite_coal_discover_jr_sm.jpg,/objects/thumbs/1911_mineca_1_2_8_foot_vein_of_athracite_coal_discover_jr_th.jpg,
,,,,,,,,,,,,,,,,
sunro_august_17_1956_large_copper_mining_development_being_carrieson_in_the_moncton_transcript_1956_08_17_4,,jr-np-m-1950-59_001,/objects/sunro_august_17_1956_large_copper_mining_development_being_carrieson_in_the_moncton_transcript_1956_08_17_4.pdf,Large Copper Mining Being Carried on in B.C. ,Bruce Levett,The Moncton Transcript,1965-08-17,,application/pdf,pdf,pdf,Mining; Copper; ,,/objects/small/sunro_august_17_1956_large_copper_mining_development_being_carrieson_in_the_moncton_transcript_1956_08_17_4_sm.jpg,/objects/thumbs/sunro_august_17_1956_large_copper_mining_development_being_carrieson_in_the_moncton_transcript_1956_08_17_4_th.jpg,
sunro_february_6_1959_japanese_backing_edmonton_journal,,jr-np-m-1950-59_002,/objects/sunro_february_6_1959_japanese_backing_edmonton_journal.pdf,Japanese Backing,Edmonton Journal,Edmonton Journal,1959-02-06,,application/pdf,pdf,pdf,Mining; Copper; Cowichan; Japanese Investment,,/objects/small/sunro_february_6_1959_japanese_backing_edmonton_journal_sm.jpg,/objects/thumbs/sunro_february_6_1959_japanese_backing_edmonton_journal_th.jpg,
sunro_october_4_1956_mine_projects_at_jordan_river_to_be_launched_nanaimo_daily_news,,jr-np-m-1950-59_003,/objects/sunro_october_4_1956_mine_projects_at_jordan_river_to_be_launched_nanaimo_daily_news.pdf,Mine Project at the Jordan River to Be Launched,Nanaimo Daily News,Nanaimo Daily News,1956-10-04,,application/pdf,pdf,pdf,Mining; Copper; Sunro,,/objects/small/sunro_october_4_1956_mine_projects_at_jordan_river_to_be_launched_nanaimo_daily_news_sm.jpg,/objects/thumbs/sunro_october_4_1956_mine_projects_at_jordan_river_to_be_launched_nanaimo_daily_news_th.jpg,
,,,,,,,,,,,,,,,,
1962_07_28_0005_daily_colonist_islander_never_gave_up_jordan_river_mill_buried_with_mine,,jr-np-m-1960-69_001,/objects/1962_07_28_0005_daily_colonist_islander_never_gave_up_jordan_river_mill_buried_with_mine.pdf,Jordan River Mill Buried with Mine,Harry Young,Daily Colonist,1962-07-28,,application/pdf,pdf,pdf,Mining; Copper; Milling; Labor,,/objects/small/1962_07_28_0005_daily_colonist_islander_never_gave_up_jordan_river_mill_buried_with_mine_sm.jpg,/objects/thumbs/1962_07_28_0005_daily_colonist_islander_never_gave_up_jordan_river_mill_buried_with_mine_th.jpg,
1963_12_07_0034_daily_colonist_river_bed_collapses_mine_closed,,jr-np-m-1960-69_002,/objects/1963_12_07_0034_daily_colonist_river_bed_collapses_mine_closed.jpg,"River Bed Collapses, Mine Closes",Harry Young,Daily Colonist,1963-12-07,,application/pdf,jpg,image,Mine Collapse; Mining; Copper,,/objects/small/1963_12_07_0034_daily_colonist_river_bed_collapses_mine_closed_sm.jpg,/objects/thumbs/1963_12_07_0034_daily_colonist_river_bed_collapses_mine_closed_th.jpg,
1964_01_09_0038_daily_colonist_maverick_river_adds_to_island_mine_woe,,jr-np-m-1960-69_003,/objects/1964_01_09_0038_daily_colonist_maverick_river_adds_to_island_mine_woe.jpg,Maverick River Adds to Island Mine Woe,Daily Colonist,Daily Colonist,1964-01-09,,application/pdf,jpg,image,Mine Collapse; Mining; Copper,,/objects/small/1964_01_09_0038_daily_colonist_maverick_river_adds_to_island_mine_woe_sm.jpg,/objects/thumbs/1964_01_09_0038_daily_colonist_maverick_river_adds_to_island_mine_woe_th.jpg,
1967_04_18_0008_daily_colonist_macdonald_report_to_share_holders,,jr-np-m-1960-69_004,/objects/1967_04_18_0008_daily_colonist_macdonald_report_to_share_holders.jpg,MacDonald Report to Shareholders,Harry Young,Daily Colonist,1967-04-18,,application/pdf,jpg,image,Mine Reactivation; Cowichan; Mining; Copper,,/objects/small/1967_04_18_0008_daily_colonist_macdonald_report_to_share_holders_sm.jpg,/objects/thumbs/1967_04_18_0008_daily_colonist_macdonald_report_to_share_holders_th.jpg,
1968_12_04_0049_daily_colonist_multi_million_bid_wins_jordan_job_bc_hydro_tunnel,,jr-np-m-1960-69_005,/objects/1968_12_04_0049_daily_colonist_multi_million_bid_wins_jordan_job_bc_hydro_tunnel.jpg,B.C. Hydro Tunnel: Multi-Million Bid Wins Jordan Job,A. H. Murphy ,Daily Colonist,1968-12-04,,application/pdf,jpg,image,Hydroelectric; Construction Contract; Power Generation,,/objects/small/1968_12_04_0049_daily_colonist_multi_million_bid_wins_jordan_job_bc_hydro_tunnel_sm.jpg,/objects/thumbs/1968_12_04_0049_daily_colonist_multi_million_bid_wins_jordan_job_bc_hydro_tunnel_th.jpg,
1969_01_18_0008_daily_colonist_cowichan_copper_delisted_mine_story_ending,,jr-np-m-1960-69_006,/objects/1969_01_18_0008_daily_colonist_cowichan_copper_delisted_mine_story_ending.jpg,Cowichan Copper Delisted: Mine Story Ending,Harry Young,Daily Colonist,1969-01-18,,application/pdf,jpg,image,Mining; Copper; Stock Exchange,,/objects/small/1969_01_18_0008_daily_colonist_cowichan_copper_delisted_mine_story_ending_sm.jpg,/objects/thumbs/1969_01_18_0008_daily_colonist_cowichan_copper_delisted_mine_story_ending_th.jpg,
sunro_august_16_1963_cowichan_liabilities_top_assets_the_province_1963_08_16_14,,jr-np-m-1960-69_007,/objects/sunro_august_16_1963_cowichan_liabilities_top_assets_the_province_1963_08_16_14.pdf,Cowichan Liabilities To Assets,The Province,The Province,1963-08-16,,application/pdf,pdf,pdf,Mining; Copper; Liabilities; Financials,,/objects/small/sunro_august_16_1963_cowichan_liabilities_top_assets_the_province_1963_08_16_14_sm.jpg,/objects/thumbs/sunro_august_16_1963_cowichan_liabilities_top_assets_the_province_1963_08_16_14_th.jpg,
